HGNC ID	Entrez Gene ID
HGNC:10635	6355
HGNC:10637	3627
HGNC:10638	6373
HGNC:10639	10563
HGNC:10640	9547
HGNC:10641	50612
HGNC:10642	6374
HGNC:10643	6372
HGNC:10645	6375
HGNC:10646	6846
HGNC:10647	6376
HGNC:10648	9255
HGNC:10649	
HGNC:1065	8548
HGNC:10650	
HGNC:10651	
HGNC:10652	
HGNC:10653	
HGNC:10654	
HGNC:10655	
HGNC:10656	
HGNC:10658	6382
HGNC:10659	6383
HGNC:1066	648
HGNC:10660	9672
HGNC:10661	6385
HGNC:10662	6386
HGNC:10663	9147
HGNC:10664	10283
HGNC:10665	10813
HGNC:10666	10809
HGNC:10667	10807
HGNC:10668	10811
HGNC:10669	10194
HGNC:1067	649
HGNC:10671	10806
HGNC:10672	6387
HGNC:10675	6388
HGNC:10676	23753
HGNC:1068	9210
HGNC:10680	6389
HGNC:10681	6390
HGNC:10682	6391
HGNC:10683	6392
HGNC:10684	100289186
HGNC:10685	647081
HGNC:10686	29771
HGNC:10687	29770
HGNC:10688	29769
HGNC:10689	29768
HGNC:1069	650
HGNC:10690	8436
HGNC:10691	10993
HGNC:10695	6395
HGNC:10696	10640
HGNC:10697	6396
HGNC:10698	6397
HGNC:10699	23541
HGNC:1070	651
HGNC:10700	9554
HGNC:10701	10484
HGNC:10702	10483
HGNC:10703	10802
HGNC:10704	10427
HGNC:10705	9632
HGNC:10706	9871
HGNC:10707	6398
HGNC:1071	652
HGNC:10710	10597
HGNC:10711	27196
HGNC:10712	27195
HGNC:10713	27194
HGNC:10714	27193
HGNC:10715	
HGNC:10716	392597
HGNC:10717	6400
HGNC:10718	6401
HGNC:10719	8991
HGNC:1072	653
HGNC:10720	6402
HGNC:10721	6403
HGNC:10722	6404
HGNC:10723	10371
HGNC:10724	7869
HGNC:10725	10512
HGNC:10726	223117
HGNC:10727	9723
HGNC:10728	6405
HGNC:10729	64218
HGNC:1073	654
HGNC:10730	10509
HGNC:10731	54910
HGNC:10732	10507
HGNC:10734	10505
HGNC:10735	57715
HGNC:10736	9037
HGNC:10737	54437
HGNC:10738	57556
HGNC:10739	10501
HGNC:1074	655
HGNC:10740	10500
HGNC:10741	8482
HGNC:10742	6406
HGNC:10743	6407
HGNC:10745	
HGNC:10746	
HGNC:10747	6411
HGNC:10748	6412
HGNC:10749	6413
HGNC:1075	656
HGNC:10750	55964
HGNC:10751	6414
HGNC:10752	6415
HGNC:10753	23679
HGNC:10755	8293
HGNC:10756	728492
HGNC:10757	10169
HGNC:10759	27230
HGNC:1076	657
