Appendix S1 Time series of the long-term experiment,,,,,,,,,,,,,,,,,,,,,,,
Worksheet 3 Transformed time series used in our Nature 2008 paper (species abundances and nutrients),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,,,,,,,,,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Day Number,Cyclopoids,Calanoids ,Rotifers,Protozoa,Nanophytoplankton,Picophytoplankton,Filamentous diatoms,Ostracods,Harpacticoids,Bacteria,Total Dissolved Inorganic Nitrogen,Soluble reactive phosphorus,,,,,,,,,,,
648.2,0.431875688,-2.288792276,-0.765780308,,0.703882511,-0.815708504,,,,-1.296123866,-0.818940046,-1.463175872,,,,,,,,,,,
651.55,-0.031961923,-1.969384035,-0.705557974,,1.317219653,-0.664961826,,,,-0.976183691,-0.75033704,-1.502840534,,,,,,,,,,,
654.9,0.776723082,-1.839934587,-0.757048607,,1.597349888,-0.649514451,,,,-1.035612318,0.232945392,-0.58472049,,,,,,,,,,,
658.25,0.475788263,-1.85513009,-0.598471772,,1.596228877,-0.736870466,,,,-1.364793544,0.416941822,-0.451375167,,,,,,,,,,,
661.6,0.543413755,-1.997102207,-0.563113787,,1.311540171,-0.623660132,,,,-1.161580828,0.042958032,-0.938692709,,,,,,,,,,,
664.95,0.869431436,-2.288792276,-0.666333255,,1.110058813,-0.682630184,,,,-0.925512881,-0.082011376,-1.055195101,,,,,,,,,,,
668.3,0.74995527,-2.288792276,-0.846236298,,1.084292741,-0.709604482,,,,-0.929290976,0.538524575,0.117041099,,,,,,,,,,,
671.65,0.304879902,-2.288792276,-1.237553612,,1.51573383,-0.836420026,,,,-1.518661683,0.778277691,0.471926425,,,,,,,,,,,
675,0.464978507,-2.288792276,-1.237553612,,3.969939083,-0.857257783,,,,-2.064270005,0.124868285,0.260446885,,,,,,,,,,,
678.35,0.305803853,-2.288792276,-1.237553612,,4.896946518,-0.889295575,,,,-1.353413185,-0.68143098,-0.068904466,,,,,,,,,,,
681.7,0.946457048,-2.288792276,-1.237553612,,3.624553676,-0.894633398,,,,-0.089634267,-0.976902781,-0.528850709,,,,,,,,,,,
685.05,1.506697583,-2.288792276,-1.237553612,,3.626572011,-0.895344922,,,,-0.026616681,-1.112417533,-0.889369199,,,,,,,,,,,
688.4,0.659881772,-2.288792276,-1.237553612,,4.550640939,-0.912844909,,,,0.204315955,-0.464873383,-0.589789313,,,,,,,,,,,
691.75,-0.930914418,-2.288792276,-1.237553612,,3.693093581,-0.895854905,,,,0.397524036,0.026373273,-0.207830777,,,,,,,,,,,
695.1,-1.580662406,-2.288792276,-1.237553612,,2.797344871,-0.946926675,,,,0.388950408,-0.31819869,-0.013460057,,,,,,,,,,,
698.45,-1.580662406,-2.288792276,-1.237553612,,0.405916846,-1.09480883,,,,0.195293862,-0.951046514,0.20719465,,,,,,,,,,,
701.8,-1.580662406,-2.288792276,-1.237553612,,-1.387789811,-1.205727341,,,,0.738401161,0.681833345,1.208786681,,,,,,,,,,,
705.15,-1.580662406,-2.288792276,-1.237553612,,-1.387789811,-1.205727341,,,,0.148981296,1.713944943,1.947581504,,,,,,,,,,,
708.5,-1.580662406,-1.66801646,-0.660946664,,-1.387789811,-1.205727341,,,,1.592160824,1.274855215,2.039300339,,,,,,,,,,,
711.85,-1.580662406,-0.777839586,0.165888051,,-1.387789811,-1.205727341,,,,2.784151187,0.639372233,2.112317525,,,,,,,,,,,
715.2,1.056184976,-0.452466135,0.475726508,,-1.387789811,-1.205727341,,,,1.0450576,0.46145029,2.309878042,,,,,,,,,,,
718.55,0.192494432,-0.132374681,1.128784949,,-1.387789811,-1.205727341,,,,1.578168434,0.353892027,2.508925984,,,,,,,,,,,
721.9,0.605417552,0.22412011,1.599008091,,-0.121160111,-1.205727341,,,,1.987846809,0.339316029,2.535941736,,,,,,,,,,,
725.25,0.894529831,0.159505862,2.602178147,,0.353313809,-0.68317994,,,,1.502870361,0.341222783,2.531900722,,,,,,,,,,,
728.6,0.837339363,0.889049932,2.873098061,,1.008750329,-0.499652167,,,,2.180977505,0.344988001,2.526308071,,,,,,,,,,,
731.95,0.481870304,0.891872458,2.67719166,,1.011056582,-0.260747966,,,,1.927378656,0.347198123,2.522833603,,,,,,,,,,,
735.3,0.63699147,0.192956106,2.257621224,,0.717172923,-0.203489171,,,,1.476386973,0.318890599,2.562574303,,,,,,,,,,,
738.65,0.844924057,0.044721183,2.078503928,,0.598123292,-0.479569652,,,,2.443050976,0.113680286,2.825516326,,,,,,,,,,,
742,0.225578701,-0.136368538,2.154752025,,0.08968053,-1.205727341,,,,2.497704426,0.004183052,2.943728374,,,,,,,,,,,
745.35,0.637451399,0.006187006,1.826043682,,-0.208903408,-1.205727341,,,,3.867516944,-0.010633179,2.963860714,,,,,,,,,,,
748.7,1.268665879,-0.146994905,1.276305179,,-0.3626402,-1.205727341,,,,4.074062364,-0.032056626,2.961127083,,,,,,,,,,,
752.05,-0.518886221,-0.113554771,1.459366689,,-0.581498409,-1.205727341,,,,1.268564118,-0.093328268,2.712322043,,,,,,,,,,,
755.4,0.071570317,-0.368074602,1.074764468,,-1.387789811,-1.205727341,,,,2.108986239,-0.19025244,2.533706409,,,,,,,,,,,
758.75,0.032056409,-0.697814712,1.699075698,,-1.387789811,-1.205727341,,,,2.899986349,-0.413188386,2.537600195,,,,,,,,,,,
762.1,,-0.507685617,2.059337371,,-1.387789811,-1.205727341,,,,1.822927359,-0.574778973,2.540273565,,,,,,,,,,,
765.45,,-0.358199753,2.938839388,,-1.387789811,-1.205727341,,,,1.405930682,-0.058295975,1.531064385,,,,,,,,,,,
768.8,,-0.358199753,2.97190715,,-1.387789811,-1.205727341,,,,1.084621167,0.494982087,-1.698448955,,,,,,,,,,,
772.15,,0.027362472,2.104282889,,-1.387789811,-1.205727341,,,,1.525251418,0.7730841,-1.660826493,,,,,,,,,,,
775.5,,-0.029644726,1.929947041,,-1.387789811,-1.205727341,,,,0.302323231,0.92608478,-1.521666678,,,,,,,,,,,
778.85,,-0.02434718,1.428603754,,0.072127111,-0.483670483,,,,0.781660504,0.641869773,-1.595508732,,,,,,,,,,,
782.2,,0.128787892,1.789046687,,0.210131758,-0.415416007,,,,0.340695113,-0.008906065,-1.788587432,,,,,,,,,,,
785.55,,0.42959793,0.925059884,,-0.714273083,-0.872617588,,,,1.383998176,-0.201545963,-1.907665657,,,,,,,,,,,
788.9,,0.698769387,1.565319269,,-0.152253867,-0.386727239,,,,1.330827153,-0.289097992,-2.028726127,,,,,,,,,,,
792.25,,0.567725451,1.717651515,,-0.103343988,-0.170197298,,,,1.376323963,-0.356622362,-2.141157094,,,,,,,,,,,
795.6,,-0.445980072,1.282067709,,-0.388240103,-0.580613564,,,,0.762241897,-0.467168312,-2.21029607,,,,,,,,,,,
798.95,,-0.636206845,1.193838576,,-0.252806147,-0.389168074,,,,0.419447789,-0.86306987,-2.010328926,,,,,,,,,,,
802.3,,-0.846747942,1.381163626,,0.045110753,-0.382962734,,,,-0.381687232,-0.081418697,0.733105639,,,,,,,,,,,
805.65,,-0.767779056,1.272099582,,0.101110355,-0.411788569,,,,-0.624333984,0.156663579,1.294102595,,,,,,,,,,,
809,,-0.695531033,1.014305919,,0.389653474,-0.338923177,,,,-0.439072371,-0.860122515,1.042046926,,,,,,,,,,,
