Appendix S1 Time series of the long-term experiment,,,,,,,,
Worksheet 2 Original time series of the nutrient concentrations measured in the experiment,,,,,,,,
,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Day number,NO2,NO3,NH4,Total dissolved inorganic nitrogen,Soluble reactive phosphorus,,
24/05/94,1413,0.92,1.41,6.25,8.58,4.27,,
30/05/94,1419,1.4,2.44,4.75,8.59,1.59,,
06/06/94,1426,0.32,3.55,7.85,11.72,1.61,,
13/06/94,1433,0.37,0.66,6.6,7.63,1.99,,
20/06/94,1440,0.32,31.27,4.2,35.79,1.07,,
27/06/94,1447,0.27,0.53,2.25,3.05,1.04,,
04/07/94,1454,0.28,1.66,3.25,5.19,1.97,,
11/07/94,1461,0.27,1.53,5.85,7.65,1.48,,
18/07/94,1468,0.26,0.17,3.15,3.58,0.87,,
25/07/94,1475,0.36,1.77,2.6,4.73,0.93,,
01/08/94,1482,0.14,1.52,2.65,4.31,0.97,,
08/08/94,1489,0.34,0.28,13.15,13.77,1.33,,
15/08/94,1496,0.38,0.17,4.8,5.35,2.09,,
22/08/94,1503,0.5,0.22,11.5,12.22,1.58,,
29/08/94,1510,3.77,0,4.95,8.72,2.22,,
06/09/94,1518,0.56,19.5,4.8,20.06,0.64,,
12/09/94,1524,0.43,1.48,4.8,1.91,0.67,,
19/09/94,1531,0.59,1.17,4.8,6.56,1.46,,
26/09/94,1538,0.3,3.02,5.8,9.12,1.37,,
04/10/94,1546,0.69,0.25,3,3.94,1.69,,
10/10/94,1552,0.45,0.82,5.6,6.87,0.76,,
17/10/94,1559,0.66,1.64,7.7,10,2.54,,
24/10/94,1566,0.47,1.61,6.85,8.93,1.87,,
01/11/94,1574,0.39,1.74,2.1,4.23,2.16,,
07/11/94,1580,0.51,0.73,3.3,4.54,0.96,,
11/11/94,1584,0.3,0.12,3.75,4.17,1.15,,
21/11/94,1594,0.18,2.56,14.3,17.04,3.65,,
28/11/94,1601,0.18,2.12,5.25,7.55,1.39,,
05/12/94,1608,0.41,0.37,7.95,8.73,3.57,,
12/12/94,1615,0.23,4.92,3.1,8.25,4.55,,
19/12/94,1622,1.15,2.35,8.45,11.95,5.04,,
03/01/95,1637,1.11,0.91,3.7,5.72,1.49,,
09/01/95,1643,0.91,0.12,4.4,5.43,4.51,,
16/01/95,1650,0.36,8.14,2.1,10.6,4.58,,
23/01/95,1657,4.1,2.97,27.8,34.87,11.55,,
30/01/95,1664,0.77,10.99,9.95,21.71,11.9,,
06/02/95,1671,0.7,4.77,11.9,17.37,9.37,,
20/02/95,1685,0.53,2.92,5.15,8.6,5.82,,
27/02/95,1692,0.87,2.91,2.95,6.73,2.4,,
06/03/95,1699,0.16,1.41,6.15,7.72,0.85,,
13/03/95,1706,0.36,1.18,5.5,7.04,0.1,,
20/03/95,1713,0.11,2,5.25,7.36,0.4,,
27/03/95,1720,0.33,2.95,5.75,9.03,2.6,,
03/04/95,1727,0.26,1.26,8.6,10.12,1.73,,
10/04/95,1734,0.21,2.66,5.65,8.52,3.96,,
18/04/95,1742,0.25,3.55,3.65,7.45,0.96,,
24/04/95,1748,0.94,1.13,3.8,5.87,0.16,,
02/05/95,1756,1.28,1.21,7.55,10.04,3.45,,
08/05/95,1762,0.22,1.27,5,6.49,1.31,,
15/05/95,1769,0.33,0.65,2.7,3.68,6.58,,
22/05/95,1776,0.54,0.54,4.65,5.73,7.43,,
29/05/95,1783,1.21,1.23,4.75,7.19,5.96,,
06/06/95,1791,0.36,0.38,3.95,4.69,4.43,,
19/06/95,1804,0.78,8.92,9.2,18.9,4.67,,
04/07/95,1819,0.24,2.74,8.2,11.18,2.78,,
10/07/95,1825,0.33,3.04,8.3,11.67,0.12,,
17/07/95,1832,0.38,3.18,8.3,11.86,1.17,,
24/07/95,1839,0.36,1.74,12.3,14.4,0.49,,
31/07/95,1846,0.56,0.72,10.35,11.63,0.33,,
07/08/95,1853,0.41,1.19,9.3,10.9,0.79,,
14/08/95,1860,0.55,0.99,12.8,14.34,2.03,,
21/08/95,1867,0.26,3.48,11.15,14.89,4.01,,
28/08/95,1874,0.45,0,6.45,6.9,1.96,,
04/09/95,1881,0.43,1.59,3.65,5.67,0.82,,
12/09/95,1889,0.3,4.61,11.45,16.36,2.19,,
18/09/95,1895,0.15,2.48,7.1,9.73,0.61,,
25/09/95,1902,0.21,4.48,10.6,15.29,2.22,,
09/10/95,1916,0.73,1,7,8.73,3.73,,
16/10/95,1923,0.46,3.31,10.75,14.52,4.48,,
23/10/95,1930,0.61,1.85,5,7.46,1.97,,
02/11/95,1940,0.16,1.1,7.95,9.21,1,,
06/11/95,1944,0.39,1.11,5.2,6.7,0.1,,
13/11/95,1951,0.53,3.11,6.2,9.84,0.45,,
20/11/95,1958,0.29,3.24,4.95,8.48,0.36,,
27/11/95,1965,0.41,0.41,3.55,4.37,0,,
05/12/95,1973,1.13,0.46,2.45,4.04,0.64,,
12/12/95,1980,0.8,0.49,1.25,2.54,0.53,,
18/12/95,1986,1.56,0.37,1.2,3.13,0.25,,
02/01/96,2001,0.34,6.3,21.3,27.94,2.3,,
08/01/96,2007,0.21,0.75,12.65,13.61,0.76,,
15/01/96,2014,0.06,1.26,11.25,12.57,0.9,,
22/01/96,2021,0.37,5.01,9.95,15.33,1.18,,
25/01/96,2024,0.38,1.29,1.5,3.17,0.88,,
05/02/96,2035,0.22,1.47,1.05,2.74,1.75,,
12/02/96,2042,0.19,1.27,3,4.46,0.88,,
19/02/96,2049,1.26,1.84,0.5,3.6,1.09,,
26/02/96,2056,0.14,1.89,0.4,2.43,1.93,,
05/03/96,2064,0.15,1.27,0.5,1.92,0.78,,
11/03/96,2070,0.22,3.09,5.1,8.41,0.72,,
18/03/96,2077,0.19,2.63,4.2,7.02,0.69,,
25/03/96,2084,0.7,3.12,5.95,9.77,1.04,,
01/04/96,2091,0.42,2.18,4.2,6.8,0.87,,
15/04/96,2105,0.51,0.5,0.25,1.26,0.36,,
22/04/96,2112,0.29,2.83,2.6,5.72,0.4,,
29/04/96,2119,0.22,2.79,4.8,7.81,0.42,,
06/05/96,2126,0.3,1.41,11.1,12.81,1.37,,
13/05/96,2133,0.2,1.84,4.7,6.74,0.64,,
20/05/96,2140,0.49,8.2,7.35,16.04,2.07,,
28/05/96,2148,0.55,4.8,16.9,22.25,2.52,,
03/06/96,2154,0.53,1.82,2.8,5.15,1.78,,
