Appendix S1 Time series of the long-term experiment,,,,,,,,,,,,,
Worksheet 1 Original time series of all species abundances measured in the experiment,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Day number,Cyclopoids,Calanoid copepods,Rotifers,Protozoa,Nanophytoplankton,Picophytoplankton,Filamentous diatoms,Ostracods,Harpacticoids ,Bacteria,,
17/07/92,737,0.366840001,0.63408,4.6746,0,0.247325852,0.062455166,0.0292596,0.033480001,0.900000001,4,,
21/07/92,741,0.127920001,0.31404,5.64804,0,0.082294449,0,1.131312,0.838080001,3.672000001,3.538,,
24/07/92,744,0.045600001,0.51756,4.77216,0.003565,0.03118548,0,1.332,1.234800001,1.872000001,5.5,,
28/07/92,748,0.647600001,0.3533,1.5414,0.00713,0.015989775,0,1.776,0.873000001,3.190000001,7.598,,
31/07/92,751,0,0.39904,2.42208,0.003565,0.007994887,0,0.277993333,1.221600001,2.880000001,2.301,,
04/08/92,755,0.063120001,0.25238,1.13652,0,0,0,1.332,0.452520001,1.236000001,3.218,,
07/08/92,758,0.063120001,0.10572,2.7468,0,0,0,0.444,2.873880001,1.944000001,4.706,,
11/08/92,762,0,0.17,4.812,0,0,0,0.0222,0.912300001,1.080000001,3.045,,
14/08/92,765,0,0.2374,12.5592,0,0,0,0.0111,0.442200001,1.200000001,2.6,,
18/08/92,769,0,0.2374,13.0752,0,0,0,0,0.828600001,1.560000001,2.214,,
21/08/92,772,0.086540001,0.492,5.27814,0,0,0,0,0.245880001,0.516000001,2.681,,
25/08/92,776,0.060300001,0.44304,4.0038,0,0,0,0,0.308280001,0.516000001,1.496,,
28/08/92,779,0.106240001,0.45012,2.09322,0,0.06220264,0.030967777,0,0.411180001,0.492000001,1.937,,
29/08/92,780,0.322620001,0.53004,2.82663,0,0.12440528,0.061935554,0,0.982590001,0.341000001,1.7,,
01/09/92,783,0.539000001,0.60996,3.56004,0,0.06220264,0.030967777,0,1.554000001,0.190000001,1.563,,
04/09/92,786,0,0.99592,0.73944,0,0,0,0,0,0,2.577,,
07/09/92,789,0,1.38188,2.67488,0,0.031003034,0.049802464,0,0,0,2.45,,
08/09/92,790,2.535260001,1.76784,4.61032,0,0.062006069,0.099604928,0,0.921120001,0.224000001,2.353,,
10/09/92,792,1.267630001,1.25512,3.45206,0,0.035746563,0.128483593,0,0.460560001,0.112000001,2.47,,
11/09/92,793,0,0.7424,2.2938,0,0.030767438,0.068355626,0.0148296,0,0,2.595,,
15/09/92,797,0,0.1038,1.55202,0,0.007751055,0.007647833,0.333,0,0,1.629,,
18/09/92,800,0,0.13674,1.4376,0,0.030803952,0.061800163,0.7195908,0,0,1.617,,
22/09/92,804,0,0.034,2.28873,0.1222,0.061914898,0.039196007,0.666,0,0,0.753,,
25/09/92,807,0,0.13398,1.13757,0.2444,0.061775842,0.045894626,0.6105,0,0,1.098,,
29/09/92,811,0,0.06699,1.01205,0.1437875,0.249854986,0.086419584,0.5994,0,0,0.934,,
02/10/92,814,0,0.048795,0.61413,0.043175,0.494881719,0.249994084,0.5772,0,0,0.558,,
06/10/92,818,0,0.0306,1.084755,0.03605,0.103025564,0.114717488,0.5439,0,0,0.986,,
09/10/92,821,0,0.061215,1.55538,0.028925,1.990264534,0.039547238,0.5158836,0,0,0.916,,
13/10/92,825,0,0.12243,1.027323,0.025635,0.594253241,0.015486,0.3333552,0,0,0.925,,
16/10/92,828,0,0.021054,1.066329,0.026245,0.541397095,0.010009468,1.3206336,0,0,0.509,,
17/10/92,829,0,0.379335,0.948024,0.026855,0.488540889,0.005948424,2.775,0,0,0.59,,
20/10/92,832,0,0.737616,0.829719,0.0094,0.330055188,0.007781742,4.44,0,0,0.683,,
23/10/92,835,0,0.42604,0.1845,0.0047,0.191402405,0.004399417,0.5926068,0,0,0.637,,
26/10/92,838,0,2.27356,0.131475,0,0.05293582,0.002258182,0.2886,0,0,0.977,,
28/10/92,840,0,1.51375,0.07845,0,0.062498781,0.007784364,0.2823544,0,0,0.765,,
30/10/92,842,0,1.256971,0.025425,0,0.156779534,0.98880261,0.2761088,0,0,0.48,,
02/11/92,845,0,1.003183,0.025128,0,0.02961492,0.07053002,0.2698632,0,0,0.605,,
04/11/92,847,0,1.338531,0.015828,0,0.031618104,0.123435974,0.2730156,0,0,0.89,,
06/11/92,849,0,1.28984,0.015828,0,0.061737284,0.103245757,0.8436,0,0,0.454,,
09/11/92,852,0,1.804812,0.034725,0,0.03124952,3.02784E-05,1.4073912,0,0,0.696,,
11/11/92,854,0,1.241141,0.024831,0,0.01562486,1.53775E-05,0.4446438,0,0,1.055,,
13/11/92,856,0,0.74526,0.02604,0,0.015991204,0.000620157,1.8200892,0,0,0.743,,
16/11/92,859,0,1.35271,0.015828,0,0.03109884,0.000963718,2.06349,0,0,0.777,,
20/11/92,863,0,0.69826,0.00372,0,0.031064754,0.002116441,0.3111108,0,0,0.89,,
23/11/92,866,0,0.562875,0.00186,0,0.032223143,0.007781624,0.7746024,0,0,0.666,,
25/11/92,868,0,1.2632,0,0,1.458339956,0.002944874,0.6719496,0,0,0.687,,
27/11/92,870,0,0.6404,0,0,0.03402023,0.007781742,0.1672992,0,0,0.73,,
30/11/92,873,0,0.41156,0,0,0.091279034,0.001045112,0.2349204,0,0,0.778,,
01/12/92,874,0,0.37146,0,0,0.068357448,0.000887647,0.1332,0,0,0.8,,
02/12/92,875,0,0.41443,0,0,0.045405377,0.000735179,0.0380952,0,0,0.85,,
04/12/92,877,0,0.4574,0,0.001566667,0.022583001,0.000583649,0.1206348,0,0,0.996,,
07/12/92,880,0,0.374593333,0,0.003133333,0.006225227,0.000222199,0.1079364,0,0,0.943,,
09/12/92,882,0,0.291786667,0,0.0047,0.015502299,0.000241671,0.1301808,0,0,1.595,,
11/12/92,884,0,0.20898,0.00279,0.000775,0.015989776,0.000121113,0.0333444,0,0,1.373,,
14/12/92,887,0,0.15962,0.00558,0.00232,0.007140754,6.89067E-05,0.041292,0,0,1.249,,
16/12/92,889,0,0.28362,0.00372,0.073165,0.003894432,0.000120634,0.0476412,0,0,1.206,,
18/12/92,891,0,0.35362,0.00186,0.14401,0.003860354,0.000120637,0.0920856,0,0,1.078,,
21/12/92,894,0,0.14398,0.00372,0.214855,0.012939452,0.000743854,0.0698412,0,0,0.821,,
24/12/92,897,0,0.26025,0.002325,0.1661775,0.025757786,0.001426637,0.1333332,0,0,0.6,,
28/12/92,901,0,0.431265,0.0048825,0.1175,0.062253334,0.002097725,0.1221,0,0,0.995,,
31/12/92,904,0,0.60228,0.00744,0.4465,0.061692819,0.001838579,0.1111332,0,0,0.789,,
04/01/93,908,0,0.28582,0.0093,0.146875,0.061767343,0.000154493,0.0555666,0,0,0.86,,
06/01/93,910,0,0.47436,0.00186,0.1692,0.060810079,0.062255506,0.0412772,0,0,1.574,,
08/01/93,912,0,0.70324,0.00408,0.11569,0.11012723,0.00397694,0.0269878,0,0,1.194,,
11/01/93,915,0,0.68952,0.00408,0.00055,0.015563487,0.007812499,0.0126984,0,0,1.496,,
13/01/93,917,0,0.43112,0.03564,0.000275,0.062081323,0.015563964,0,0,0,1.6,,
15/01/93,919,0,0.53132,0.05244,0,0.055172893,0.015441895,0,0,0,1.6,,
18/01/93,922,0,0.68866,0.1227,0,0.123964302,0.013427734,0.117438,0,0,2.249,,
20/01/93,924,0,0.64306,0.11622,0,0.019822903,0.000524431,0.1238316,0,0,1.8,,
22/01/93,926,0,0.85844,0.1008,0,0.123205177,0.001838579,0.7724712,0,0,1.3,,
25/01/93,929,0,0.80692,0.05262,0,0.249343872,0.001936713,0.263514,0,0,0.986,,
28/01/93,932,0,1.22848,0.03348,0,0.001480072,0.000972733,0.6920628,0,0,0.8645,,
01/02/93,936,0,0.35482,0.00186,0.0003875,0.001937806,7.56959E-06,0.4285932,0,0,0.743,,
04/02/93,939,0,0.62758,0.00186,0.000775,0.001927435,3.0756E-05,0.0825396,0,0,0.6215,,
08/02/93,943,0,1.08806,0.00093,0.025635,0.003900094,1.5378E-05,1.4857128,0,0,0.5,,
11/02/93,946,0,0.74642,0,0.0128175,0.003189307,0,0.5238312,0,0,0.7494,,
15/02/93,950,0,0.39082,0,0,0.496070794,0.001045112,0.25308,0,0,0.9988,,
18/02/93,953,0,0.65,0,0,0.546649163,0.007117627,1.11,0,0,1.2482,,
19/02/93,954,0,0.91198,0.0039,0,0.992132383,0.01319506,1.8015744,0,0,1.4976,,
22/02/93,957,0,1.625838,0.0078,0,1.992791385,0.030991288,0.888,0,0,1.747,,
25/02/93,960,0,2.1215,0.00948,0,1.148377656,0.00440526,0.222,0,0,2.508,,
01/03/93,964,0,1.87306,0.01116,0,3.970856156,0.061766632,0.0222,0,0,1.702,,
04/03/93,967,0,6.451555,0.019375,0,1.992123712,0.024778981,0,0,0,1.181,,
05/03/93,968,0,4.9923215,0.02759,0,0.878875506,0.015142709,0,0,0,1.2,,
08/03/93,971,0,3.533088,0.035805,0,0.014883516,0.007720946,0,0,0,1.322,,
11/03/93,974,0,4.5635,0.02449,0,0.012450692,0.022947313,0,0,0,1.1216,,
15/03/93,978,0,3.04554,0.013175,0,0.002990536,0.000611827,0,0,0,1.816,,
18/03/93,981,0,3.524353,0.00186,0,0.003896415,0.002258182,0,0,0,2.318,,
19/03/93,982,0,3.8283965,0.00093,0,0.001941264,0.003874902,0,0,0,1.8,,
22/03/93,985,0,4.13244,0,0,0.001945436,0.007720946,0,0,0,1.185,,
25/03/93,988,0,3.894054,0,0,0.031167984,0.015568256,0,0,0,1.205,,
29/03/93,992,0,2.739533,0,0,0.031004899,0.086994155,0,0,0,1.181,,
01/04/93,995,0,2.526403,0,0,0.030883731,0.249728581,0,0,0,2.127,,
02/04/93,996,0,2.763402,0,0,0.018937582,0.249011993,0,0,0,1.8,,
05/04/93,999,0,3.000401,0,0,0.019773828,0.317385077,0,0,0,1.652,,
07/04/93,1001,0,3.0868205,0,0,0.062008982,0.988270862,0,0,0,1.63,,
08/04/93,1002,0,3.17324,0,0,0.123531245,0.910140865,0,0,0,1.604,,
13/04/93,1007,0,2.846015,0,0,0.124439225,1.210906743,0,0,0,0.868,,
15/04/93,1009,0,2.20018,0,0,0.133782804,1.999951733,0,0,0,1.707,,
19/04/93,1013,0,2.70892,0.00279,0,0.249923483,0.986826658,0.00222,0,0,0.977,,
22/04/93,1016,0,3.21766,0.00558,0.0075,0.214839891,2.26375842,0.0222,0,0,0.834,,
